"","inst_id","sido","sgg","bedCount","instkind","noe1","interest1","longLoan1","debt1"
"1",1,"choongnam",73,175,"nursing_hospital",15236236,13236236,3.51e+08,682825991
"3",4,"gyeonggi",89,468,"nursing_hospital",30000,0,0,92414342
"4",7,"incheon",141,353,"general_hospital",1259567512,1196881219,7253039927,42363797762
"5",9,"gyeongnam",32,196,"general_hospital",1419089382,1307248652,1.35e+10,49898105519
"6",11,"gyeongnam",155,243,"general_hospital",741269419,336462245,0,0
"7",14,"gyeonggi",169,213,"general_hospital",970008848,940942802,3723300000,24122304855
"8",15,"busan",66,250,"general_hospital",3166922895,465983760,999960000,46886016081
"9",16,"jeonnam",91,280,"nursing_hospital",579079483,167471911,0,0
"10",17,"seoul",4,55,"general_hospital",1000118143,448540747,2270940000,30534327153
"11",18,"gyeonggi",92,250,"general_hospital",2034357679,1462729706,21888979343,52901576100
"12",19,"jeonbuk",136,656,"nursing_hospital",310062763,276768409,0,12992587296
"13",22,"choongbuk",108,123,"nursing_hospital",372743761,361970741,2363789509,15217907306
"14",25,"incheon",140,143,"hospital",2446763579,1324953766,1.36e+10,57951971241
"16",27,"ulsan",127,526,"general_hospital",1570602979,896998857,13094314767,74703721975
"17",33,"seoul",3,181,"general_hospital",2474767666,319704982,0,18712566017
"18",34,"incheon",138,243,"general_hospital",1543529755,1042222917,26882166680,52131881696
"19",35,"daejeon",49,291,"nursing_hospital",513877434,88591452,0,0
"20",36,"seoul",77,195,"general_hospital",1161622440,357708193,7e+08,15436165283
"21",37,"daegu",44,167,"hospital",474517882,472039090,555940000,16903461067
"22",38,"gyeonggi",96,346,"general_hospital",5335543642,2841474870,41124897062,86697249913
"23",39,"seoul",119,48,"hospital",235115549,231104453,0,7907162972
"24",42,"daegu",43,252,"hospital",350522595,350522595,0,12098966480
"25",44,"gyeongbuk",114,66,"hospital",2061558066,222096329,0,14812671115
"26",45,"gyeongbuk",7,196,"nursing_hospital",286024540,268520208,1998560000,10767212539
"27",47,"daegu",40,137,"hospital",368301439,330071049,2596212250,21839514233
"28",49,"gyeongbuk",172,63,"hospital",350360910,322501564,6064390000,16639679773
"29",50,"gangwon",128,149,"hospital",383067082,296607165,5.94e+09,32936293856
"30",51,"seoul",23,406,"nursing_hospital",375248502,343800103,8.7e+09,31260502979
"31",52,"gyeonggi",96,0,"traditional_clinic",314375353,172718176,0,6926195411
"32",53,"gyeonggi",97,78,"nursing_hospital",158090415,157639434,0,8458883643
"34",56,"jeonnam",33,584,"nursing_hospital",1202445218,169551969,0,12276250672
"35",57,"jeonnam",38,101,"nursing_hospital",306102348,274342243,2085384464,8252415016
"36",58,"gyeonggi",168,132,"nursing_hospital",428721218,284069476,0,0
"37",59,"choongnam",94,258,"nursing_hospital",539890179,513787982,5856720717,11737791374
"38",60,"gyeonggi",74,53,"hospital",204524605,176306594,0,7054460794
"39",61,"gyeonggi",24,164,"hospital",163905774,163868524,0,6979032891
"40",62,"gyeonggi",120,0,"clinic",2640421560,55331120,0,39545947657
"41",63,"gyeongnam",5,206,"general_hospital",1041124875,691712214,9630291360,24367583508
"42",65,"gyeonggi",177,126,"hospital",4010569368,67068540,2833260000,25693380103
"43",67,"gyeongnam",32,203,"nursing_hospital",178026082,164109704,3.28e+09,11687971008
"44",69,"jeonbuk",146,244,"nursing_hospital",150306551,123776039,0,5658750123
"45",70,"gyeonggi",169,139,"hospital",231404814,224230817,1872067803,9663114002
"46",71,"jeonnam",106,196,"general_hospital",303852417,251559018,4803970000,12335548150
"47",72,"daegu",41,277,"nursing_hospital",127371257,127358463,0,5065088399
"48",73,"daegu",44,166,"hospital",16039299,0,0,0
"49",74,"seoul",1,28,"traditiona_hospital",216088892,204479315,9.9e+08,6749131935
"50",75,"gyeongbuk",30,249,"general_hospital",4972290235,331974734,4816590787,31743390761
"51",77,"gyeongbuk",84,199,"nursing_hospital",409327374,177681043,2.05e+08,6438049294
"52",81,"seoul",87,57,"hospital",764745600,720643772,14536911032,23326685163
"53",82,"gyeongnam",32,148,"nursing_hospital",0,169068842,0,5415331190
"54",83,"jeonnam",56,114,"hospital",203222162,199592678,618359290,7879246664
"55",84,"gyeonggi",88,214,"nursing_hospital",323712539,323712539,2984710000,13071062162
