도로형태,차종,발생건수,사망자수,부상자수,중상,경상,부상신고
터널안,승용차,507,15,1145,220,838,87
터널안,승합차,29,1,81,16,61,4
터널안,화물차,113,7,251,86,156,9
터널안,특수차,9,0,22,5,17,0
터널안,이륜차,35,5,38,13,19,6
터널안,원동기장치자전거,10,0,13,5,4,4
터널안,자전거,5,0,5,4,0,1
터널안,건설기계,11,0,20,5,15,0
터널안,불명,6,0,6,1,4,1
교량위,승용차,868,34,1617,312,1206,99
교량위,승합차,65,8,226,89,126,11
교량위,화물차,215,14,394,112,263,19
교량위,특수차,19,0,28,6,21,1
교량위,이륜차,66,7,76,34,40,2
교량위,사륜오토바이(ATV),5,1,5,2,2,1
교량위,원동기장치자전거,13,1,13,6,6,1
교량위,자전거,29,1,31,12,15,4
교량위,개인형이동수단(PM),1,0,1,1,0,0
교량위,건설기계,33,0,48,18,28,2
교량위,농기계,1,1,0,0,0,0
교량위,불명,42,0,60,12,37,11
고가도로위,승용차,430,13,865,199,601,65
고가도로위,승합차,28,2,42,10,29,3
고가도로위,화물차,82,2,147,26,114,7
고가도로위,특수차,11,1,29,4,17,8
고가도로위,이륜차,18,1,20,9,10,1
고가도로위,원동기장치자전거,5,0,5,2,2,1
고가도로위,자전거,3,0,3,2,1,0
고가도로위,건설기계,6,0,12,5,6,1
고가도로위,불명,4,0,4,1,3,0
지하차도(도로)내,승용차,315,7,537,103,400,34
지하차도(도로)내,승합차,24,0,52,13,36,3
지하차도(도로)내,화물차,58,2,99,22,71,6
지하차도(도로)내,특수차,8,1,11,3,7,1
지하차도(도로)내,이륜차,23,1,27,13,8,6
지하차도(도로)내,사륜오토바이(ATV),1,0,1,0,1,0
지하차도(도로)내,원동기장치자전거,8,0,9,4,3,2
지하차도(도로)내,자전거,12,0,13,3,9,1
지하차도(도로)내,건설기계,6,0,10,3,7,0
지하차도(도로)내,기타,1,0,5,0,5,0
지하차도(도로)내,불명,7,0,8,3,2,3
기타단일로,승용차,66173,1268,98971,22665,70627,5679
기타단일로,승합차,7071,150,11565,3090,7458,1017
기타단일로,화물차,13518,620,20473,5697,13740,1036
기타단일로,특수차,566,12,905,244,619,42
기타단일로,이륜차,6191,234,7250,2204,3890,1156
기타단일로,사륜오토바이(ATV),206,29,209,98,86,25
기타단일로,원동기장치자전거,1955,67,2266,698,1208,360
기타단일로,자전거,2742,64,2900,885,1385,630
기타단일로,개인형이동수단(PM),62,3,64,21,34,9
기타단일로,건설기계,1314,54,1977,486,1393,98
기타단일로,농기계,266,48,278,106,158,14
기타단일로,기타,81,6,101,22,59,20
기타단일로,불명,2391,0,2634,397,1624,613
교차로내,승용차,44146,355,72310,16834,51876,3600
교차로내,승합차,3313,59,5911,1499,3999,413
교차로내,화물차,7673,164,11506,3297,7766,443
교차로내,특수차,240,7,367,116,236,15
교차로내,이륜차,4622,100,5961,1624,3398,939
교차로내,사륜오토바이(ATV),95,4,109,28,70,11
교차로내,원동기장치자전거,1406,32,1789,480,1053,256
교차로내,자전거,1392,26,1453,414,703,336
교차로내,개인형이동수단(PM),22,0,26,5,18,3
교차로내,건설기계,592,21,871,282,554,35
교차로내,농기계,121,6,146,44,94,8
교차로내,기타,27,0,33,7,25,1
교차로내,불명,736,0,831,112,569,150
교차로횡단보도내,승용차,4520,92,4844,2225,2469,150
교차로횡단보도내,승합차,469,29,508,270,227,11
교차로횡단보도내,화물차,771,36,793,412,365,16
교차로횡단보도내,특수차,25,3,25,18,7,0
교차로횡단보도내,이륜차,469,5,561,211,299,51
교차로횡단보도내,사륜오토바이(ATV),2,0,2,0,2,0
교차로횡단보도내,원동기장치자전거,133,1,163,63,80,20
교차로횡단보도내,자전거,318,12,316,83,162,71
교차로횡단보도내,개인형이동수단(PM),3,0,3,0,2,1
교차로횡단보도내,건설기계,45,8,42,23,19,0
교차로횡단보도내,기타,1,0,1,0,1,0
교차로횡단보도내,불명,271,0,271,31,174,66
교차로부근,승용차,20929,210,33076,6087,25410,1579
교차로부근,승합차,1885,34,3057,673,2181,203
교차로부근,화물차,3883,88,6067,1411,4419,237
교차로부근,특수차,131,4,205,47,154,4
교차로부근,이륜차,1859,40,2269,578,1260,431
교차로부근,사륜오토바이(ATV),30,2,35,14,18,3
교차로부근,원동기장치자전거,524,16,610,162,353,95
교차로부근,자전거,649,13,675,180,328,167
교차로부근,개인형이동수단(PM),7,0,7,2,4,1
교차로부근,건설기계,372,12,622,169,423,30
교차로부근,농기계,31,4,39,12,21,6
교차로부근,기타,25,0,31,7,15,9
교차로부근,불명,617,0,692,92,466,134
주차장,승용차,922,4,1134,223,845,66
주차장,승합차,70,0,83,29,49,5
주차장,화물차,154,3,191,54,130,7
주차장,특수차,5,0,6,0,6,0
주차장,이륜차,16,0,16,3,13,0
주차장,사륜오토바이(ATV),1,0,1,0,1,0
주차장,원동기장치자전거,6,1,5,1,4,0
주차장,자전거,9,0,10,3,7,0
주차장,개인형이동수단(PM),1,0,1,0,1,0
주차장,건설기계,5,0,5,3,2,0
주차장,농기계,2,0,2,1,1,0
주차장,기타,3,0,4,0,4,0
주차장,불명,16,0,16,1,9,6
철길건널목,화물차,1,0,2,0,2,0
철길건널목,자전거,1,1,0,0,0,0
철길건널목,농기계,1,0,1,1,0,0
기타,승용차,4132,46,5718,1358,4013,347
기타,승합차,463,3,704,182,464,58
기타,화물차,841,24,1195,328,800,67
기타,특수차,39,1,91,19,70,2
기타,이륜차,422,12,494,142,290,62
기타,사륜오토바이(ATV),13,1,13,6,6,1
기타,원동기장치자전거,96,3,112,27,73,12
기타,자전거,490,9,517,157,277,83
기타,개인형이동수단(PM),21,1,22,6,12,4
기타,건설기계,91,1,129,42,84,3
기타,농기계,28,6,25,13,10,2
기타,기타,20,0,25,6,15,4
기타,불명,266,0,280,37,168,75
불명,승용차,99,4,141,35,103,3
불명,승합차,9,0,9,4,5,0
불명,화물차,32,1,39,12,26,1
불명,특수차,1,0,3,0,3,0
불명,이륜차,9,1,8,1,5,2
불명,사륜오토바이(ATV),1,0,1,1,0,0
불명,원동기장치자전거,1,0,1,1,0,0
불명,자전거,9,0,9,2,4,3
불명,건설기계,1,0,1,1,0,0
불명,기타,2,0,2,1,0,1
불명,불명,14,0,14,3,7,4
